USA SOFTBALL TESTING & CERTIFICATION PROGRAM,,,,
Certified Bats,,,,
#ERROR!,Click here to select all by type,,,
,,,,
,,,,
Type,Manufacturer,Model,Description,"Last
Update"
,Anderson Bat Company,11040,Ambush,8/15/2014
,Anderson Bat Company,11041,Ambush Slow Pitch,4/4/2016
,Anderson Bat Company,11042,Flex SP,7/14/2016
,Anderson Bat Company,11043,RockeTech SP,7/14/2016
,Anderson Bat Company,11044,Rocketech Slow Pitch,10/9/2017
,Anderson Bat Company,11045,Flex,10/9/2017
,Anderson Bat Company,11046,Ambush,10/9/2017
,Anderson Bat Company,11047,Rocketch,6/27/2019
,Anderson Bat Company,11048,Flex,6/27/2019
,Anderson Bat Company,11049,Ambush,6/27/2019
,Anderson Bat Company,17001,FastTech,6/4/2010
,Anderson Bat Company,17004,RocketTech FP,6/4/2010
,Anderson Bat Company,17005,RocketTech FP,6/4/2010
,Anderson Bat Company,17006,Pyrotech FP,6/4/2010
,Anderson Bat Company,17007,2007 RocketTech FP,6/4/2010
,Anderson Bat Company,17008,PyroTech FP,6/4/2010
,Anderson Bat Company,17009,PyroTech FP,6/4/2010
,Anderson Bat Company,17011,RockeTech FP,6/4/2010
,Anderson Bat Company,17012,PyroTech FP,6/4/2010
,Anderson Bat Company,17013,TechZilla FP,8/13/2008
,Anderson Bat Company,17014,2009 RocketTech FP,6/4/2010
,Anderson Bat Company,17015,Techzilla FP,6/4/2010
,Anderson Bat Company,17016,RockeTech FP,5/28/2009
,Anderson Bat Company,17017,KFP,4/9/2010
,Anderson Bat Company,17018,NanoTek FP,4/19/2010
,Anderson Bat Company,17019,RockeTech FP,4/9/2010
,Anderson Bat Company,17020,TechZilla FP,4/9/2010
,Anderson Bat Company,17022,RocketTech FP -9,2/8/2012
,Anderson Bat Company,17023,NanoTek FP -10,2/9/2012
,Anderson Bat Company,17024,TechZilla FP -10,2/8/2012
,Anderson Bat Company,17025,Ignite FP -11,2/8/2012
,Anderson Bat Company,17026,NanoTek FP -12,2/9/2012
,Anderson Bat Company,17027,FlexZilla FP,1/17/2013
,Anderson Bat Company,17028,RocketFlex FP,1/17/2013
,Anderson Bat Company,17029,RockeTech FP,8/27/2014
,Anderson Bat Company,17030,Supernova FP,10/2/2014
,Anderson Bat Company,17031,Supernova 2.0 FP -10,9/15/2015
,Anderson Bat Company,17032,Rockettech Youth FP -12,9/15/2015
,Anderson Bat Company,17033,RockeTech FP,7/14/2016
,Anderson Bat Company,17034,Rocketech Fast Pitch -9,10/3/2017
,Anderson Bat Company,17035,Supernova Fastpitch (-10),10/3/2017
,Anderson Bat Company,17036,Rocketech Youth (-12),10/3/2017
,Anderson Bat Company,17037,Rocketech Fast Pitch -9,9/10/2018
,Anderson Bat Company,17038,Supernova Fast Pitch -10,9/10/2018
,Anderson Bat Company,17039,Rocketech Youth FP -12,9/10/2018
,Anderson Bat Company,17040,Supernova -11,6/26/2019
,Anderson Bat Company,17042,Rocketech Fastpitch -9,6/26/2019
,Anderson Bat Company,17043,Supernova -10,6/26/2019
,Anderson Bat Company,17044,Supernova Flash -11,6/26/2019
,Anderson Bat Company,17045,Rocketech Flash -12,6/26/2019
,Anderson Bat Company,17051,Rocketech Carbon,12/16/2022
,Anderson Bat Company,17080,Rocketech Carbon,2/13/2026
,Anderson Bat Company,17054,Rocketech,11/14/2023
,Anderson Bat Company,17055,Rocketech Carbon,11/14/2023
,Axe Bat,L136A,Axe Danielle Lawrie Signature,10/3/2013
,Axe Bat,L136B,Danielle Lawrie,4/3/2014
,Axe Bat,L136C,Danielle Lawrie,7/22/2015
,Axe Bat,L136E,Danielle Lawrie,3/17/2016
,Axe Bat,L136F,Danielle Lawrie,5/26/2017
,Axe Bat,L136G,Danielle Lawrie,9/5/2019
,Axe Bat,L136H,Danielle Lawrie,9/5/2019
,Axe Bat,L136J,Danielle Lawrie,4/8/2022
,Axe Bat,L136KR,Danielle Lawrie,1/23/2023
,Axe Bat,L136M,Danielle Lawrie,2/26/2024
,Axe Bat,L150,AXE Avenge,12/21/2010
,Axe Bat,L150A,Axe Avenge,8/28/2013
,Axe Bat,L150B,Avenge,4/3/2014
