USA SOFTBALL TESTING & CERTIFICATION PROGRAM,,,,
Certified Bats,,,,
#ERROR!,Click here to select all by type,,,
,,,,
,,,,
Type,Manufacturer,Model,Description,"Last
Update"
,Marucci,MFPECDV211,ECHO Connect DMND -11 GEN 2,12/22/2023
,Marucci,MFPECDV28,ECHO Connect DMND -8 Gen 2,12/22/2023
,Marucci,MFPECDV29,ECHO Connect DMND -9 Gen 2,12/22/2023
,Marucci,MFPED10,Echo DMND,4/15/2022
,Marucci,MFPED11,Echo DMND -11,6/22/2024
,Marucci,MFPED210,Echo DMND -10 Gen 2,10/22/2023
,Marucci,MFPED211-28,Echo DMND -11 (28),6/22/2024
,Marucci,MFPED211-28,Echo DMND -11 Gen 2,6/22/2024
,Marucci,MFPED211-29,ECHO DMND 2 -11 (29),6/22/2024
,Marucci,MFPED211-30,ECHO DMND 2 -11 (30),6/22/2024
,Marucci,MFPED211-31,ECHO DMND 2 -11 (31),6/22/2024
,Marucci,MFPED211-32,ECHO DMND 2 -11 (32),7/4/2024
,Marucci,MFPED211-33,ECHO DMND 2 -11 (33),7/4/2024
,Marucci,MFPED28,Echo DMND -8 Gen 2,10/22/2023
,Marucci,MFPED29,Echo DMND -9 Gen 2,10/22/2023
,Marucci,MFPED8,Echo DMND,4/15/2022
,Marucci,MFPED9,Echo DMND -9,4/15/2022
,Marucci,MFPEDAV212,ECHO Alloy DMND -12 Gen 2,12/22/2023
,Marucci,MFPEDP28,Echo DMND Power -8 Gen 2,10/22/2023
,Marucci,MFPEDP29,Echo DMND Power -9 Gen 2,10/22/2023
,Marucci,MFPEDP8,Echo DMND Power,8/18/2022
,Marucci,MFPEDP9,Echo DMND Power,8/18/2022
,Marucci,MFPEDPV28,ECHO DMND Power -8 Gen 2,12/22/2023
,Marucci,MFPEDPV29,ECHO DMND Power -9 Gen 2,12/22/2023
,Marucci,MFPEDV 211,ECHO DMND -11 Gen 2,12/22/2023
,Marucci,MFPEDV210,ECHO DMND -10 Gen 2,12/22/2023
,Marucci,MFPEDV28,ECHO DMND -8 Gen 2,12/22/2023
,Marucci,MFPEDV29,ECHO DMND -9 Gen 2,12/22/2023
,Marucci,MFPP10,Pure,10/2/2014
,Marucci,MFPP11,Pure,3/18/2015
,Marucci,MFPS11,Marucci Soul Alloy -11,5/25/2026
,Marucci,MSPCCY2LA-25,Chocolate Crush Yellow,8/19/2025
,Marucci,MSPCCY2LA-26,Chocolate Crush Yellow,8/19/2025
,Marucci,MSPCCY2LA-27,Chocolate Crush Yellow,8/19/2025
,Marucci,MSPDR2LA-25,Driippy,8/19/2025
,Marucci,MSPDR2LA-26,Driippy,8/19/2025
,Marucci,MSPDR2LA-27,Driippy,8/19/2025
,Mattingly,BOSFP,Mattingly Boost Fastpitch,7/9/2010
,Mattingly,BOSSP,Mattingly Boost Slowpitch,6/7/2011
,Mattingly,BST98,,8/13/2008
,Mattingly,BSTFP,,8/13/2008
,Mattingly,BTKFP,Mattingly Balistk Fastpitch,7/9/2010
,Mattingly,BTVFP,Mattingly Balistik Fastpitch,4/27/2011
,Mattingly,FERFP,Mattingly Fierce Fastpitch,8/28/2009
,Mattingly,FRCFP,Mattingly V-Force Fastpitch,8/26/2008
,Mattingly,MVPFP,Mattingly MVP Fastpitch,8/26/2008
,Mattingly,MVPSP,Mattingly MVP Slowpitch,8/26/2008
,Mattingly,PROFP,Mattingly PRO Fastpitch,8/26/2008
,Mattingly,RPDFP,,8/26/2008
,Mattingly,SBRFP,Mattingly Saber Fastpitch,12/1/2009
,MaxBat,SB1,,1/18/2019
,MaxBat,SB12,,1/18/2019
,MaxBat,SB15,,1/18/2019
,MaxBat,SB78,,1/18/2019
,Miken,4FALMA,Freak 4 the Fallen,1/7/2014
,Miken,52FKBA,Freak 52 Balanced,10/13/2014
,Miken,52FKMA,Freak 52 Supermax,10/13/2014
,Miken,75XULT,Ultra 750X Maxload,4/1/2016
,Miken,AMZCHA,Chaos,1/6/2021
,Miken,BBATMA,FREAK RWB BORDER BATTLE,4/30/2015
,Miken,BBATMA,Freak USA Border Battle,10/28/2015
,Miken,BLCKBA,Freak Black,10/28/2015
,Miken,BLCKMA,Freak Black,10/28/2015
,Miken,CHIL10,CHILL,5/6/2014
,Miken,DENCMA,DC-41,10/28/2015
,Miken,DIC17M,Maniac,8/18/2016
,Miken,DIC18M,Maniac,9/22/2017
,Miken,DIC19M,Maniac,10/24/2018
,Miken,DIC20M,Maniac,9/5/2019
,Miken,DIC20M,Maniac,4/15/2022
,Miken,DIC21M,Maniac,4/15/2022
,Miken,DSGMCA,Maniac,1/7/2014
,Miken,Edge,,6/14/2007
,Miken,F52MXA,Freak 52,10/28/2015
,Miken,FHAL12,Halo Light,1/7/2014
,Miken,FKPTBA,Freak Platinum,11/23/2016
,Miken,FKPTMA,Freak Platinum Maxload,12/8/2016
,Miken,FPATMA,Freak Patriot,10/7/2016
,Miken,FPFK10,Freak,10/13/2014
,Miken,FPFKBK,Freak Black,10/13/2014
,Miken,FPFX10,Freak FX 700 -10,2/23/2011
,Miken,FPFX12,Freak FX700 -12,2/23/2011
,Miken,FPFX9,Freak FX 700 -9,2/23/2011
,Miken,FPHL12,Halo Light,2/23/2011
,Miken,FPIE10,Intensit-E,2/23/2011
,Miken,FPNX10,Freak NXT -10,12/12/2011
,Miken,FPNX12,Freak NXT Light,12/12/2011
,Miken,FPNX9,Freak NXT -9,12/12/2011
,Miken,FPSF10,Super Freak FP98,5/10/2012
,Miken,FPTD10,Triad3 FP,10/31/2012
,Miken,FPTR10,Triad Xtreme,1/7/2014
,Miken,FREV10,RevEx,10/31/2012
,Miken,FREV12,RevEx Light,10/31/2012
,Miken,FREV9,RevEx,10/31/2012
,Miken,FRK52A,Freak 52,5/6/2014
,Miken,FRK98A,Kelly's Super Freak,12/12/2011
,Miken,FRKBKA,Freak Black,10/13/2014
,Miken,FRKRVG,Freak Revenge,1/7/2014
,Miken,FRKSEA,FREAK STADIUM EDITION,4/30/2015
,Miken,FRKTSA,Freak RVG,10/13/2014
,Miken,FRVX10,RevEx,1/7/2014
,Miken,FRVX12,RevEx Light,1/7/2014
,Miken,FRVX9,RexEx,1/7/2014
,Miken,GLDN10,Gold NXT-10,5/10/2012
,Miken,GLDN9,Gold NXT-9,5/10/2012
,Miken,GLDNXT,Gold NXT Freak FP,5/10/2012
,Miken,HALO12,Halo Light 2013,10/31/2012
,Miken,Infinity,,6/14/2007
,Miken,Intensit-E,,6/14/2007
,Miken,LTHALO,Halo Light,10/13/2014
,Miken,M-Pulse,,6/14/2007
,Miken,M1220A,Freak,12/4/2017
,Miken,M1PALL,RevEx Comp Max,7/3/2018
,Miken,M2950,M2950 Pro,7/29/2022
,Miken,M2MANO,Maniac,4/15/2022
,Miken,MANDSG,Maniac,8/27/2014
,Miken,Maniac 282,,6/14/2007
,Miken,Maniac 484,Fastpitch,6/14/2007
,Miken,Maniac 484,Slowpitch,6/14/2007
,Miken,MAZDCA,DC-41,3/4/2021
,Miken,MBBF4A,Freak USA,5/22/2018
,Miken,MBBFKA,Freak USA Border Battle Supermax,5/24/2017
,Miken,MBJ22A,Chaos Maxload Bradley Jones,4/15/2022
,Miken,MCFTRA,Freak Turbo Balanced,2/23/2011
,Miken,MCFTSA,Freak Turbo Maxload,2/23/2011
,Miken,MCSFSA,Freak SIKK,2/23/2011
,Miken,MDC17A,DC-41 Supermax Denny Crine,9/22/2017
,Miken,MDC18A,DC-41,10/24/2018
,Miken,MDC18A-NAV,DC-41 Supermax - Navy,1/6/2021
,Miken,MDC20A,DC-41,3/25/2020
,Miken,MDC22A,DC-41 Supermax,1/28/2022
,Miken,MDC41A,DC-41,11/23/2016
,Miken,MDSFTC,Freak Turbo,2/23/2011
,Miken,MF20BA,Freak,12/4/2017
,Miken,MF20MA,Freak,12/4/2017
,Miken,MF52MA,Freak 52,11/23/2016
,Miken,MFDSSA,Freakadelic,3/4/2021
,Miken,MFDSTA,Freak DST Balanced,12/7/2009
,Miken,MFDSTMA,Freak DST Maxload,12/7/2009
,Miken,MFEHT10,Epic HT,6/1/2009
,Miken,MFH10,Halo,6/14/2007
,Miken,MFH8,Halo,6/14/2007
,Miken,MFH9,Halo,6/14/2007
,Miken,MFHL12,,6/14/2007
,Miken,MFI10,Icon FP10,9/9/2008
,Miken,MFI9,Icon FP9,9/9/2008
,Miken,MFIL12,Icon Light,9/9/2008
,Miken,MFK22A,Freak,7/1/2022
,Miken,MFK23A,Freak 23 Kyle Pearson,9/22/2017
,Miken,MFKUSA,Freak USA,6/26/2019
,Miken,MFNRG,NRG Pro-Series 500 Fast Pitch,6/14/2007
,Miken,MFRCA2,Rain FP,1/21/2009
,Miken,MFRK3A,Freak 23,7/1/2022
,Miken,MFRL12,Rain Light FP,1/21/2009
,Miken,MGD21A,Freak Gold,4/1/2021
,Miken,MGOLDA,Freak Gold,11/1/2019
,Miken,MKP20A,Freak 23 - Kyle Pearson,9/5/2019
,Miken,MKP21A,Freak 23,1/6/2021
,Miken,MKP22A,Freak 23,2/1/2022
,Miken,MKP23A,Freak 23,10/24/2018
,Miken,MKP23A-RWB,Freak 23 - Kyle Pearson,9/10/2019
,Miken,MKPSAP,Freak 23,1/28/2022
,Miken,MMAN9R,Manic,2/6/2023
,Miken,MMNIAC,Maniac,4/15/2022
,Miken,MNATMA,Miken Nation - Buck Signature,5/6/2014
,Miken,MP12X,Psycho,7/1/2022
,Miken,MP13X,Psycho,7/1/2022
,Miken,MP13X1,Psycho,7/1/2022
,Miken,MP21BA,Freak Primo,1/6/2021
,Miken,MP21MA,Freak Primo,1/6/2021
,Miken,MP22BA,Freak Primo,1/28/2022
,Miken,MP22BA-01,Freak Primo,2/6/2023
,Miken,MP22MA,Freak Primo,1/28/2022
,Miken,MP22MA-01,Freak Primo,2/6/2023
,Miken,MPAV19,Vicious,5/22/2018
,Miken,MPAV19,Vicious,7/3/2018
,Miken,MPAV20,Vicious,1/6/2021
,Miken,MPAVIC,Vicious,8/18/2016
,Miken,MPMBV1,MV1,4/15/2022
,Miken,MPMOBA,Freak Primo Balanced,11/1/2019
,Miken,MPMOMA,Freak Primo Maxload,11/1/2019
,Miken,MPMOSA,Freak Primo Supermax,11/1/2019
,Miken,MPMVB,MV-1,4/15/2022
,Miken,MPMVW,MV-1,4/15/2022
,Miken,MPR12A,Freak Primo,1/18/2019
,Miken,MPRIBA,Freak Primo,1/18/2019
,Miken,MPRIMA,Freak Primo,1/18/2019
,Miken,MPRVCA,Vicious,2/6/2023
,Miken,MPV18G,Vicious,9/22/2017
,Miken,MPV18T,Vicious,9/22/2017
,Miken,MRECSC,Recoil,4/15/2022
,Miken,MREV20,RevEx,11/1/2019
,Miken,MREV21,RevEx,1/6/2021
,Miken,MREVEX,RevEx,1/18/2019
,Miken,MRVALL,RevEx Maxload,11/23/2016
,Miken,MS100CA,Vicious,4/2/2009
,Miken,MSA3CAB-26,Captain America,9/5/2023
,Miken,MSA3CAB-27,Captain America,7/15/2023
,Miken,MSA3CAB-28,Captain America,7/15/2023
,Miken,MSA3DCX,DC-41 XTRA,6/24/2023
,Miken,MSA3DPB-25,Deadpool,7/12/2023
,Miken,MSA3DPB-26,Deadpool,7/12/2023
,Miken,MSA3DPB-27,Deadpool,7/12/2023
,Miken,MSA3FKGL,Freak Gold,2/6/2023
,Miken,MSA3FPL,FRK Patriot,6/24/2023
,Miken,MSA3FUL,Freak U,2/15/2023
,Miken,MSA3KPL,Freak 23 KP,11/25/2022
,Miken,MSA3PRMB,Primo,11/25/2022
,Miken,MSA3PRMB,Primo,10/22/2023
,Miken,MSA3PRMB-25.5,Primo,2/2/2024
,Miken,MSA3PRMB-26.5,Primo,2/2/2024
,Miken,MSA3PRMB-27.5,Primo,2/2/2024
,Miken,MSA3PRML,Primo,10/22/2023
,Miken,MSA3PRML-26,Primo Max,10/22/2023
,Miken,MSA3PRML-27,Primo Max,10/22/2023
,Miken,MSA3PRML-28,Primo Max,10/22/2023
,Miken,MSA4PPML-25,Pro M1 KP12,2/6/2024
,Miken,MSA4PPML-26,PRO M1 KP12,2/2/2024
,Miken,MSA4PPML-27,PRO M1 KP12,2/2/2024
,Miken,MSA4PPML-28,PRO M1 KP12,2/2/2024
,Miken,MSA4PRMB-25.5,Primo,2/6/2024
,Miken,MSA4PRMB-26.5,Primo,2/2/2024
,Miken,MSA4PRMB-27.5,Primo,2/2/2024
,Miken,MSA4PRML-26,Primo,2/2/2024
,Miken,MSA4PRML-27,Primo,2/6/2024
,Miken,MSA4PRML-28,Primo,2/2/2024
,Miken,MSA4SFHX-25,Superfreak Highlighter,5/20/2024
,Miken,MSA4SFHX-26,Superfreak Highlighter,5/20/2024
,Miken,MSA4SFHX-27,Superfreak Highlighter,5/20/2024
,Miken,MSA5AMDCB-25,DC-41,3/4/2025
,Miken,MSA5AMDCB-26,DC-41,3/4/2025
,Miken,MSA5AMDCB-27,DC-41,3/4/2025
,Miken,MSA5AMKPB-25,KP23,3/4/2025
,Miken,MSA5AMKPB-26,KP23,3/4/2025
,Miken,MSA5AMKPB-27,KP23,3/4/2025
,Miken,MSA5FKDL-25,FREAK-A-DELIC,3/4/2025
,Miken,MSA5FKDL-26,FREAK-A-DELIC,3/4/2025
,Miken,MSA5FKDL-27,FREAK-A-DELIC,3/4/2025
,Miken,MSA5FRKB-25.5,FREAK,3/4/2025
,Miken,MSA5FRKB-26.5,FREAK,3/4/2025
,Miken,MSA5FRKB-27.5,FREAK,3/4/2025
,Miken,MSA5FRKL-26,FREAK,3/4/2025
,Miken,MSA5FRKL-27,FREAK,3/4/2025
,Miken,MSA5FRKL-28,FREAK,3/4/2025
,Miken,MSA5HBL-25,HB12 ICY,3/4/2025
,Miken,MSA5HBL-26,HB12 ICY,3/4/2025
,Miken,MSA5HBL-27,HB12 ICY,3/4/2025
,Miken,MSA5HBL-28,HB12 ICY,3/4/2025
,Miken,MSA5KPL-25,KP-23,2/2/2025
,Miken,MSA5KPL-26,KP-23,2/2/2025
,Miken,MSA5KPL-27,KP-23,2/2/2025
,Miken,MSA5KPL-28,KP-23,2/2/2025
,Miken,MSA5PRIDEB-25,FREAK WHITE,3/4/2025
,Miken,MSA5PRIDEB-26,FREAK WHITE,3/4/2025
,Miken,MSA5PRIDEB-27,FREAK WHITE,3/4/2025
,Miken,MSA5PRIDEL-25,FREAK BLACK,2/25/2025
,Miken,MSA5PRIDEL-26,FREAK BLACK,3/4/2025
,Miken,MSA5PRIDEL-27,FREAK BLACK,3/4/2025
,Miken,MSA5PRIDEL-28,FREAK BLACK,3/4/2025
,Miken,MSA5SFHX-25,SUPERFREAK HIGHLIGHTER,3/4/2025
,Miken,MSA5SFHX-26,SUPERFREAK HIGHLIGHTER,3/4/2025
,Miken,MSA5SFHX-27,SUPERFREAK HIGHLIGHTER,3/4/2025
,Miken,MSA5SISFZ-25,FREALZILLA,2/2/2025
,Miken,MSA5SISFZ-26,FREAKZILLA,2/2/2025
,Miken,MSA5SISFZ-27,FREAKZILLA,2/2/2025
,Miken,MSA6DMSISL-25,FREAK - Dirty Money,11/13/2025
,Miken,MSA6DMSISL-26,FREAK - Dirty Money,11/13/2025
,Miken,MSA6DMSISL-27,FREAK - Dirty Money,11/13/2025
,Miken,MSA6FKBLKL-25,FREAK BLACK,3/12/2026
,Miken,MSA6FKBLKL-26,FREAK BLACK,3/12/2026
,Miken,MSA6FKBLKL-27,FREAK BLACK,3/12/2026
,Miken,MSA6FKFL-25,FREAK FIRE,3/12/2026
,Miken,MSA6FKFL-26,FREAK FIRE,3/12/2026
,Miken,MSA6FKFL-27,FREAK FIRE,3/12/2026
,Miken,MSA6FKPTB -27,FREAK PT,11/11/2025
,Miken,MSA6FKPTB -28,FREAK PT,11/11/2025
,Miken,MSA6FKPTB-26,FREAK PT,11/11/2025
,Miken,MSA6FRKB-25.5,FREAK,11/13/2025
,Miken,MSA6FRKB-26.5,FREAK,11/13/2025
,Miken,MSA6FRKB-27.5,FREAK,11/13/2025
,Miken,MSA6FRKL-26,FREAK,11/13/2025
,Miken,MSA6FRKL-27,FREAK,11/13/2025
,Miken,MSA6FRKL-28,FREAK,11/13/2025
,Miken,MSA6HBFL-25,HB12 Frosty,11/13/2025
,Miken,MSA6HBFL-26,HB12 Frosty,11/13/2025
,Miken,MSA6HBFL-27,HB12 Frosty,11/13/2025
,Miken,MSA6HBRL-25,HB12 RETRO,11/13/2025
,Miken,MSA6HBRL-26,HB12 RETRO,11/13/2025
,Miken,MSA6HBRL-27,HB12 RETRO,11/13/2025
,Miken,MSA6KP1L-25,KP23,11/11/2025
,Miken,MSA6KP1L-26,KP23,11/11/2025
,Miken,MSA6KP1L-27,KP23,11/11/2025
,Miken,MSA6KP1L-28,KP23,11/11/2025
,Miken,MSA6KPL-25,KP23,11/13/2025
,Miken,MSA6KPL-26,KP23,11/11/2025
,Miken,MSA6KPL-27,KP23,11/11/2025
,Miken,MSA6KPL-28,KP23,11/11/2025
,Miken,MSA6NKPL-25,KP23,11/13/2025
,Miken,MSA6NKPL-26,KP23,11/13/2025
,Miken,MSA6NKPL-27,KP23,11/13/2025
,Miken,MSA6PRIDEB-25,FREAK WHITE,11/13/2025
,Miken,MSA6PRIDEB-26,FREAK WHITE,11/13/2025
,Miken,MSA6PRIDEB-27,FREAK WHITE,11/13/2025
,Miken,MSA6PRIDEL-25,FREAK BLACK,11/13/2025
,Miken,MSA6PRIDEL-26,FREAK BLACK,11/13/2025
,Miken,MSA6PRIDEL-27,FREAK BLACK,11/13/2025
,Miken,MSA6PRIDEL-28,FREAK BLACK,11/13/2025
,Miken,MSA6SFHX-25,Superfreak Highlighter,3/12/2026
,Miken,MSA6SFHX-26,Superfreak Highlighter,3/12/2026
,Miken,MSA6SFHX-27,Superfreak Highlighter,3/12/2026
,Miken,MSA6SISRL-25,FREAK,3/12/2026
,Miken,MSA6SISRL-26,FREAK,3/12/2026
,Miken,MSA6SISRL-27,FREAK,3/12/2026
,Miken,MSAPC-1,Decoy,6/14/2007
,Miken,MSBTSA,Burn,12/18/2008
,Miken,MSCA-1,Chaos,1/21/2009
,Miken,MSD4MAN,Maniac,2/2/2024
,Miken,MSD4SKL,SYKO,2/2/2024
,Miken,MSD6CHAL,CHAOS,11/13/2025
,Miken,MSD6P13X1,PSYCHO,11/13/2025
,Miken,MSD6SKL,SYKO,11/13/2025
,Miken,MSD6V13B1,VICIOUS,11/13/2025
,Miken,MSD6V14B1,VICIOUS,11/13/2025
,Miken,MSFN,Freak 98,6/10/2009
,Miken,MSFTDSG,Freak Turbo,12/18/2008
,Miken,MSFXLS,Fusion XLS,2/23/2011
,Miken,MSISFZ,Freakzilla,3/1/2018
,Miken,MSMXBBA,MXB,7/30/2009
,Miken,MSMXBMA,MXB,7/30/2009
,Miken,MSNFA,Nemesis Balanced,9/9/2008
,Miken,MSNMA,Nemesis Maxload,9/9/2008
,Miken,MSNRG-5,NRG Pro-Series 500,6/14/2007
,Miken,MSNRGM-5,NRG Pro-Series 500 Maxload,6/14/2007
,Miken,MSNRGR,NRG,2/24/2010
,Miken,MSNRGS,NRG,2/24/2010
,Miken,MSRFA,Recoil,6/14/2007
,Miken,MSRMA,Recoil Maxload,6/14/2007
,Miken,MSSEC,484 CAMO,6/14/2007
,Miken,MSVA,Velocit-E,7/12/2010
,Miken,MSVE-1,Velocit-E,6/14/2007
,Miken,MSVE-3,Velocit-E-II,6/14/2007
,Miken,MV13B1,Vicious,11/25/2022
,Miken,MV13B1,Vicious,11/25/2022
,Miken,MV13L,Vicious,11/25/2022
,Miken,MV14B1,Vicious,11/25/2022
,Miken,MV3 FP10,FPMV3C10,2/24/2010
,Miken,MV3 FP9,FPMV3C9,2/24/2010
,Miken,MV3 Light FP12,FPMV3C12,2/24/2010
,Miken,Oklahoma City,,6/14/2007
,Miken,PROVIC,Vicious,4/28/2016
,Miken,S75XMA,Freak 750X,5/6/2014
,Miken,SF1PCA,Super Freak,2/14/2014
,Miken,SF2PCA,Super Freak,2/14/2014
,Miken,SFMIDA,Super Freak HPS,10/31/2012
,Miken,SFNDBA,Freak NXT Balanced,10/31/2012
,Miken,SFNDMA,Freak NXT Maxload,10/31/2012
,Miken,SKSFA,Super Freak DST,4/29/2010
,Miken,SNXTBA,Freak NXT Balanced,12/12/2011
,Miken,SNXTMA,Freak NXT Supermax,12/12/2011
,Miken,SOULTA,Ultra,10/23/2012
,Miken,SPDSTA,Freak DST Maxload,10/31/2012
,Miken,SPFXBA,Freak FX700,3/4/2011
,Miken,SPFXMA,Freak FX700,4/7/2011
,Miken,SPMAFA,Mafia,2/8/2012
,Miken,SPMANA,Maniac,6/17/2013
,Miken,SPMDA,Maniac,6/17/2013
,Miken,SPMDA,Maniac,2/8/2012
,Miken,SPRZRA,RZR,5/10/2012
,Miken,SPSYBA,Psycho Balanced,2/14/2014
,Miken,SPSYMA,Psycho Supermax,2/14/2014
,Miken,SPVELA,Velocit-E,5/10/2012
,Miken,SPVSA,Vicious 100 Alloy,12/12/2011
,Miken,SRECBA,Recoil,6/17/2013
,Miken,SREVMA,RevEx Supermax,10/31/2012
,Miken,STR3MA,Triad Maxload,1/7/2014
,Miken,STRIMA,Triad3,10/23/2012
,Miken,SULTMA,Ultra 750 Maxload,4/2/2013
,Miken,SYCHMA,Psycho Maxload,10/13/2014
,Miken,SYKOMA,Psycho Maxload - J. Isenhower,4/1/2016
,Miken,UL75BA,Ultra 750X,1/7/2014
,Miken,UL75MA,Ultra 750 Maxload,1/7/2014
,Miken,ULTALL,Ultra 750 Max,10/13/2014
,Miken,Viper,"12""",6/14/2007
,Miken,Viper,"12"" 2001",6/14/2007
,Miken,Viper,"14""",6/14/2007
,Miken,Viper,"14"" 2001",6/14/2007
,Mizuno,340119 or 340124,Crush G3,4/30/2008
,Mizuno,340125 or 340126,Crush,4/30/2008
,Mizuno,340243,Ambition,11/16/2015
,Mizuno,340272,Whiteout FP (-10),5/25/2012
,Mizuno,340273,Whiteout FP (-9),5/25/2012
,Mizuno,340274,Whiteout (-8),5/25/2012
,Mizuno,340279,Whiteout FP (Custom),5/25/2012
,Mizuno,340286,Whiteout End Load (-10),2/19/2013
,Mizuno,340287,Whiteout End Load (-9),2/19/2013
,Mizuno,340298,Blackout Balanced ASA,7/23/2013
,Mizuno,340306,Whiteout 2 (-12.5),5/20/2014
,Mizuno,340360,Mamba,12/11/2014
,Mizuno,340362,No Doubt,12/11/2014
,Mizuno,340363,Nighthawk FP (-10),1/15/2015
,Mizuno,340364,Nighthawk FP (-8),1/15/2015
,Mizuno,340365,Nighthawk FP (-9),1/15/2015
,Mizuno,340366,Black Widow,3/18/2015
,Mizuno,340367,Black Widow (-13),12/4/2014
,Mizuno,340443,Ghost (-10),1/18/2017
,Mizuno,340444,Ghost (-9),1/18/2017
,Mizuno,340445,Ghost (-8),1/18/2017
,Mizuno,340446,Nighthawk (-10),12/8/2016
,Mizuno,340447,Nighthawk (-11),12/8/2016
,Mizuno,340448,Nighthawk (-9),12/8/2016
,Mizuno,340449,Nighthawk (-8),12/8/2016
,Mizuno,340450,Silhouette (-10),12/8/2016
,Mizuno,340451,Silhouette (-13),12/8/2016
,Mizuno,340457,Nighthawk Robo Load,12/8/2016
,Mizuno,340458,Nighthawk Balanced,12/8/2016
,Mizuno,340470,F19-Titanium (-10),6/1/2023
,Mizuno,340471,F19-PWR CRBN,6/1/2023
,Mizuno,340472,F19-PWR CRBN (-9),11/15/2017
,Mizuno,340474,F19-CRBN2 )-10),11/13/2017
,Mizuno,340475,F19-CRBN2 (-9),11/13/2017
,Mizuno,340476,F19-CRBN2 (-8),11/13/2017
,Mizuno,340477,F19-CRBN1 (-10),11/13/2017
,Mizuno,340478,F19-CRBN1 (-13),11/13/2017
,Mizuno,340498,F19-PWR CRBN (-11),11/15/2017
,Mizuno,340499,F19-CRBN1 (-9),11/13/2017
,Mizuno,340500,F19-CRBN1 (-8),11/13/2017
,Mizuno,340526,F20-Titanium (-10),4/17/2019
,Mizuno,340527,F20-PWR CRBN (-10),4/17/2019
,Mizuno,340528,F20-PWR CRBN (-9),4/17/2019
,Mizuno,340529,F20-PWR CRBN (-11),4/17/2019
,Mizuno,340531,F20-CRBN 1 (-10),4/17/2019
,Mizuno,340532,F20-CRBN 1 (-13),4/17/2019
,Mizuno,340539,F20-CRBN 1 (-9),4/17/2019
,Mizuno,340543,F20-CRBN 1 (-8),4/17/2019
,Mizuno,340548,Crush,12/13/2019
,Mizuno,340550,F21-Titanium (-10),6/22/2020
,Mizuno,340551,F21-PWR CRBN (-10),6/1/2023
,Mizuno,340552,F21-PWR CRBN (-9),6/1/2023
,Mizuno,340553,F21-PWR CRBN (-11),6/1/2023
,Mizuno,340554,F21-CRBN 1 (-10),6/22/2020
,Mizuno,340555,F21-CRBN 1 (-13),6/22/2020
,Mizuno,340556,F21-CRBN1 (-9),6/22/2020
,Mizuno,340557,F21-CRBN 1 (-8),6/22/2020
,Mizuno,340571,F19-PWR CRBN (-10),12/4/2017
,Mizuno,340603,PWR CRBN (-10),10/21/2025
,Mizuno,340604,PWR CRBN (-9),10/21/2025
,Mizuno,340605,PWR CRBN (-11),10/21/2025
,Mizuno,340606,CRBN1 (-10),2/20/2023
,Mizuno,340607,CRBN1 (-9),2/20/2023
,Mizuno,340608,CRBN1 (-8),2/20/2023
,Mizuno,340609,CRBN1,2/20/2023
,Mizuno,340651,CRBN2 (-10),7/1/2022
,Mizuno,340652,F23-CRBN2 (-9),6/1/2023
,Mizuno,340654,CRBN2 (-8),2/20/2023
,Mizuno,340654,CRBN2 (-8),7/5/2022
,Mizuno,340659,F24-CRBN1 (-10),7/9/2023
,Mizuno,340659-5551,F24-CRBN1 (-10),12/30/2024
,Mizuno,340659,F24-CRBN1 (-10),12/30/2024
,Mizuno,340659.101,F24-CRBN1 (-10),12/30/2024
,Mizuno,340659.2222,F24-CRBN1 (-10),12/30/2024
,Mizuno,340659.401,F24-CRBN1 (-10),12/30/2024
,Mizuno,340659.505,F24-CRBN1 (-10),12/30/2024
,Mizuno,340659.9047,F24-CRBN1 (-10),12/30/2024
,Mizuno,340659.909,F24-CRBN1 (-10),12/30/2024
,Mizuno,340660,F24-CRBN1 (-9),7/9/2023
,Mizuno,340660,F24-CRBN1 (-9),12/30/2024
,Mizuno,340660.101,F24-CRBN1 (-9),12/30/2024
,Mizuno,340660.2222,F24-CRBN1 (-9),12/30/2024
,Mizuno,340660.401,F24-CRBN1 (-9),12/30/2024
,Mizuno,340660.505,F24-CRBN1 (-9),12/30/2024
,Mizuno,340660.5551,F24-CRBN1 (-9),12/30/2024
,Mizuno,340660.9047,F24-CRBN1 (-9),12/30/2024
,Mizuno,340660.909,F24-CRBN1 (-9),12/30/2024
,Mizuno,340661,F24-CRBN1 (-8),7/9/2023
,Mizuno,340662,F24-CRBN1M(-13),7/9/2023
,Mizuno,340665,F25-CRBN PRO (-10),5/12/2024
,Mizuno,340666,F25-CRBN PRO (-9),5/12/2024
,Mizuno,340667,F25-CRBN PRO (-11),5/12/2024
,Mizuno,340669,F24-CRBN2 (-10),7/9/2023
,Mizuno,340670,F24-CRBN2 (-9),7/9/2023
,Mizuno,340671,F24-CRBN2 (-8),7/9/2023
,Mizuno,340683,F25-CRBN PRO (-8),5/12/2024
,Mizuno,340690,F26-CRBN X (-10),11/20/2025
,Mizuno,340691,F26 CRBN X (-9),11/20/2025
,Mizuno,340692,F26-CRBN X (-8),11/20/2025
,Mizuno,340700,F24-CRBN1 (-11),12/30/2024
,Mizuno,340700,F24-CRBN1 (-11),12/30/2024
,Mizuno,340700.101,F24-CRBN1 (-11),12/30/2024
,Mizuno,340700.401,F24-CRBN1 (-11),12/30/2024
,Mizuno,340700.505,F24-CRBN1 (-11),12/30/2024
